year,week,country_iso2,inflow_mwh
2006,48,IE,31487.364419171932
2006,49,IE,36332.2108239311
2006,50,IE,41450.335294082885
2006,51,IE,39889.28730475607
2006,52,IE,33142.54054413842
2006,53,IE,32207.31173505475
2007,1,IE,34867.618322009504
2007,2,IE,37914.298196098236
2007,3,IE,38235.45372684074
2007,4,IE,31412.834058378234
2007,5,IE,25321.162853574322
2007,6,IE,27304.57671214906
2007,7,IE,26555.447116393592
2007,8,IE,29032.95580592376
2007,9,IE,31405.651849898437
2007,10,IE,30852.693872386437
2007,11,IE,28401.646174564263
2007,12,IE,25271.58899727709
2007,13,IE,22501.600543777247
2007,14,IE,20572.48251076841
2007,15,IE,19828.027456285276
2007,16,IE,20003.304010896216
2007,17,IE,19730.265403538215
2007,18,IE,19749.138303730648
2007,19,IE,19818.7923556296
2007,20,IE,19696.037585218204
2007,21,IE,19826.392594580804
2007,22,IE,20963.509288113462
2007,23,IE,19937.862385538465
2007,24,IE,21389.424762414055
2007,25,IE,22615.991908901633
2007,26,IE,22532.28843670095
2007,27,IE,22626.689097729944
2007,28,IE,24935.55650419293
2007,29,IE,26072.557188379105
2007,30,IE,23568.794027196836
2007,31,IE,26214.681883993544
2007,32,IE,25557.421500631586
2007,33,IE,26863.365956624682
2007,34,IE,23129.98672345205
2007,35,IE,20596.963866099482
2007,36,IE,19945.659736243855
2007,37,IE,20172.654801571305
2007,38,IE,20291.976669575175
2007,39,IE,20642.902176070755
2007,40,IE,19978.65213130202
2007,41,IE,19857.108043140586
2007,42,IE,19866.523675312434
2007,43,IE,19984.26733503809
2007,44,IE,19704.510836804016
2007,45,IE,19900.41148606059
2007,46,IE,24765.53432291331
2007,47,IE,22180.536944742365
2007,48,IE,26234.769889768686
2007,49,IE,31192.511910991303
2007,50,IE,30427.72669771546
2007,51,IE,27873.494179384903
2007,52,IE,27641.986496090907
2008,1,IE,30622.933417590946
2008,2,IE,35988.809406712855
2008,3,IE,41242.57767899856
2008,4,IE,38146.592401734386
2008,5,IE,34887.73384039253
2008,6,IE,29904.593712203612
2008,7,IE,25485.10441996363
2008,8,IE,22559.282867313766
2008,9,IE,21885.830750949764
2008,10,IE,25288.006337141294
2008,11,IE,29716.89225810852
2008,12,IE,26581.48442769209
2008,13,IE,32488.374133243826
2008,14,IE,27504.98498926939
2008,15,IE,24692.87534365012
2008,16,IE,21792.02887078356
2008,17,IE,20845.066031886774
2008,18,IE,20305.180469254716
2008,19,IE,19977.181539465455
2008,20,IE,20058.930596561462
2008,21,IE,20098.203250141487
2008,22,IE,19920.867408089332
2008,23,IE,19776.09494136315
2008,24,IE,20076.231343967
2008,25,IE,20740.312636374005
2008,26,IE,20205.48680576832
2008,27,IE,22626.272900704927
2008,28,IE,20121.085514324168
2008,29,IE,19024.195138863382
2008,30,IE,19817.60182990156
2008,31,IE,23501.939983499306
2008,32,IE,31980.164041549964
2008,33,IE,31779.29301659561
2008,34,IE,28311.33117675782
2008,35,IE,29937.55621414816
2008,36,IE,33842.162300097596
2008,37,IE,32031.151770772183
2008,38,IE,26615.34591222544
2008,39,IE,23681.22171591367
2008,40,IE,28324.466137035044
2008,41,IE,31285.61244733234
2008,42,IE,30058.693043204854
2008,43,IE,31691.093959605274
2008,44,IE,30517.68926183985
2008,45,IE,31392.160763866723
2008,46,IE,29298.321342007963
2008,47,IE,27083.59266123672
2008,48,IE,24693.658477342273
2008,49,IE,26307.790860594523
2008,50,IE,28391.40538963038
2008,51,IE,26971.254969258633
2008,52,IE,23138.624996750437
2009,1,IE,21103.498475968518
2009,2,IE,23831.83146293301
2009,3,IE,28098.586471947125
2009,4,IE,30240.11675934722
2009,5,IE,30569.71523730334
2009,6,IE,30848.232449940206
2009,7,IE,35408.914352994034
2009,8,IE,26966.286244511204
2009,9,IE,22975.375031270036
2009,10,IE,23405.72580708268
2009,11,IE,22083.610869239084
2009,12,IE,20962.966998030242
2009,13,IE,20324.745976747534
2009,14,IE,21069.088697295338
2009,15,IE,22137.54708658749
2009,16,IE,22985.3432849191
2009,17,IE,25462.585358572196
2009,18,IE,24815.74841472118
2009,19,IE,24255.089048311347
2009,20,IE,26954.789985039144
2009,21,IE,24738.855990475215
2009,22,IE,22780.224864525426
2009,23,IE,24135.618158047644
2009,24,IE,21777.428978813277
2009,25,IE,20551.604698159124
2009,26,IE,21357.255681995994
2009,27,IE,21545.18383283653
2009,28,IE,21762.90238130281
2009,29,IE,22690.59670529829
2009,30,IE,21892.15723929697
2009,31,IE,20163.172389735824
2009,32,IE,19598.391498012898
2009,33,IE,20809.33857862811
2009,34,IE,21382.170561045496
2009,35,IE,25155.091433297202
2009,36,IE,25420.292231355375
2009,37,IE,23176.252629091112
2009,38,IE,21259.878763023742
2009,39,IE,20095.771060833646
2009,40,IE,21124.012933167858
2009,41,IE,20664.870429808478
2009,42,IE,22116.726740994414
2009,43,IE,22817.63900875995
2009,44,IE,30668.9494487924
2009,45,IE,36585.54629168037
2009,46,IE,46253.132181457164
2009,47,IE,54707.253192609176
2009,48,IE,50488.87225174414
2009,49,IE,43867.38970297806
2009,50,IE,35413.34583272375
2009,51,IE,27561.526166595297
2009,52,IE,28880.185782836663
2010,1,IE,28105.76989700324
2010,2,IE,25856.996197049488
2010,3,IE,31825.901591718204
2010,4,IE,28800.631904274083
2010,5,IE,26578.284669541255
2010,6,IE,25394.570790221158
2010,7,IE,22292.334112282457
2010,8,IE,21704.868036920303
2010,9,IE,21663.238324815644
2010,10,IE,20273.606697743213
2010,11,IE,20314.963183658627
2010,12,IE,22343.52147956232
2010,13,IE,26644.512358149223
2010,14,IE,31769.284900903396
2010,15,IE,29716.328533262455
2010,16,IE,25106.410568406427
2010,17,IE,22232.76773539018
2010,18,IE,21260.707136986257
2010,19,IE,20211.341071201125
2010,20,IE,20017.450145567713
2010,21,IE,19913.736405600554
2010,22,IE,20997.144120503785
2010,23,IE,21292.235034129048
2010,24,IE,20122.013621415575
2010,25,IE,19087.40680394907
2010,26,IE,18628.517199900525
2010,27,IE,18458.63384662084
2010,28,IE,19352.79739643549
2010,29,IE,19498.312422636856
2010,30,IE,19005.10714150094
2010,31,IE,19028.59458533225
2010,32,IE,18745.837739895556
2010,33,IE,18627.590160669428
2010,34,IE,18589.876636891437
2010,35,IE,18271.82596524391
2010,36,IE,19929.406266495123
2010,37,IE,22154.854270951528
2010,38,IE,23934.3230375799
2010,39,IE,23243.287766393074
2010,40,IE,22591.498447900194
2010,41,IE,21166.811205913596
2010,42,IE,19958.256630775504
2010,43,IE,20320.346121993378
2010,44,IE,24396.835485169504
2010,45,IE,32367.15993569929
2010,46,IE,34268.556285677856
2010,47,IE,32834.6561858038
2010,48,IE,26920.83095227609
2010,49,IE,22702.59597232674
2010,50,IE,23144.23172827726
2010,51,IE,21555.56859179816
2010,52,IE,27340.253284776318
2011,1,IE,27611.6169650304
2011,2,IE,28227.524426443397
2011,3,IE,27834.839565126997
2011,4,IE,24556.613320074663
2011,5,IE,23519.480417517112
2011,6,IE,34431.96594301603
2011,7,IE,36255.47524329237
2011,8,IE,32294.684348915267
2011,9,IE,26703.39674161891
2011,10,IE,23037.100188819368
2011,11,IE,22486.523583133836
2011,12,IE,21488.792977148365
2011,13,IE,20533.649427252058
2011,14,IE,22041.841250462632
2011,15,IE,21014.45529723125
2011,16,IE,20403.750499091897
2011,17,IE,19874.786027356407
2011,18,IE,19837.18981493758
2011,19,IE,20234.50374797326
2011,20,IE,19886.438292629937
2011,21,IE,19999.403843346026
2011,22,IE,19698.8801929064
2011,23,IE,19654.858103044848
2011,24,IE,19781.39606150751
2011,25,IE,20321.658614508622
2011,26,IE,19702.6014010619
2011,27,IE,19188.46214802642
2011,28,IE,18912.64105648727
2011,29,IE,18784.311163719034
2011,30,IE,18537.558205136433
2011,31,IE,18280.243603185518
2011,32,IE,18288.45612810868
2011,33,IE,18064.57178991633
2011,34,IE,17966.990019288976
2011,35,IE,17982.74879091396
2011,36,IE,18111.032744011718
2011,37,IE,18087.38931758503
2011,38,IE,18570.537768944403
2011,39,IE,19736.04307813012
2011,40,IE,21985.10837331851
2011,41,IE,20814.48323525627
2011,42,IE,21782.263035703225
2011,43,IE,39232.40280117153
2011,44,IE,35143.36975987626
2011,45,IE,30755.400759785512
2011,46,IE,27341.94421754541
2011,47,IE,25567.95871150943
2011,48,IE,28702.154513960104
2011,49,IE,31858.798724451757
2011,50,IE,32606.064827622824
2011,51,IE,31832.008877584027
2011,52,IE,30149.452306497184
2012,1,IE,31386.333064089697
2012,2,IE,30225.385650999528
2012,3,IE,26549.38133220618
2012,4,IE,25271.46075765591
2012,5,IE,29949.22372348372
2012,6,IE,28068.024309858898
2012,7,IE,25686.47573704403
2012,8,IE,23523.75776062537
2012,9,IE,22504.47974932202
2012,10,IE,21576.015232664326
2012,11,IE,20867.005332102646
2012,12,IE,22363.988811505693
2012,13,IE,20051.64251717907
2012,14,IE,19905.06611432228
2012,15,IE,20441.88450608478
2012,16,IE,21476.255903157067
2012,17,IE,24503.393100400874
2012,18,IE,27490.24522142213
2012,19,IE,25461.09169184645
2012,20,IE,22805.72477228474
2012,21,IE,20268.16733468533
2012,22,IE,19704.18329703347
2012,23,IE,24130.283049893656
2012,24,IE,25258.531437344707
2012,25,IE,26145.706060532233
2012,26,IE,28320.92851427294
2012,27,IE,28080.458229806864
2012,28,IE,27130.00647249802
2012,29,IE,25429.717314704754
2012,30,IE,23559.34686496722
2012,31,IE,22360.996362310947
2012,32,IE,21313.66266126017
2012,33,IE,21476.161971580845
2012,34,IE,21464.21235359876
2012,35,IE,22132.3527242329
2012,36,IE,20519.425331379396
2012,37,IE,19913.13904199426
2012,38,IE,19600.536242511695
2012,39,IE,25077.615123700532
2012,40,IE,23678.177124149046
2012,41,IE,23424.986808394613
2012,42,IE,28914.335588834845
2012,43,IE,28729.176242742407
2012,44,IE,25895.42611508726
2012,45,IE,24974.070639092984
2012,46,IE,24675.988805448676
2012,47,IE,27187.21876652472
2012,48,IE,32294.36407809313
2012,49,IE,29921.561791465298
2012,50,IE,27375.57086558451
2012,51,IE,26803.661667785334
2012,52,IE,27932.6353498487
2012,53,IE,28374.924111757802
2013,1,IE,27094.114333391408
2013,2,IE,28167.42405641975
2013,3,IE,30763.882019145476
2013,4,IE,36649.11885035474
2013,5,IE,35632.80195186
2013,6,IE,37938.417297555614
2013,7,IE,32610.40550120826
2013,8,IE,26077.468390587626
2013,9,IE,24468.199668403242
2013,10,IE,24035.505996625292
2013,11,IE,24336.508391438794
2013,12,IE,26151.8919325834
2013,13,IE,22044.841221087998
2013,14,IE,21567.601588588353
2013,15,IE,22973.498957471278
2013,16,IE,22461.926947800413
2013,17,IE,21694.676417616523
2013,18,IE,21370.48374431577
2013,19,IE,21427.937383380384
2013,20,IE,21002.603321136216
2013,21,IE,21257.170592067825
2013,22,IE,20126.18922575435
2013,23,IE,20742.199242048522
2013,24,IE,20687.581122439613
2013,25,IE,20050.801548326814
2013,26,IE,19911.77317827354
2013,27,IE,19741.830828907834
2013,28,IE,19456.00126426699
2013,29,IE,19409.441210864275
2013,30,IE,19362.844560912556
2013,31,IE,19139.671100529064
2013,32,IE,18757.353189340218
2013,33,IE,18462.137385341834
2013,34,IE,18198.59298872102
2013,35,IE,18047.414974620668
2013,36,IE,18008.253567282354
2013,37,IE,18039.446460757634
2013,38,IE,17818.650279892445
2013,39,IE,18629.987501973723
2013,40,IE,18247.901446514294
2013,41,IE,19574.07509270344
2013,42,IE,22794.4696503454
2013,43,IE,24474.945388837026
2013,44,IE,23912.732886702874
2013,45,IE,25210.853781484864
2013,46,IE,24295.928488389814
2013,47,IE,22496.403423958025
2013,48,IE,20766.180007187184
2013,49,IE,19719.27505833905
2013,50,IE,22763.21280132015
2013,51,IE,28856.515453723998
2013,52,IE,38651.6134178978
2014,1,IE,41439.46130675515
2014,2,IE,37764.48788428811
2014,3,IE,34518.36948940146
2014,4,IE,37730.016497419834
2014,5,IE,44529.35260044594
2014,6,IE,45145.756927586015
2014,7,IE,45390.5046937419
2014,8,IE,43286.443096261915
2014,9,IE,38573.206565839384
2014,10,IE,33544.64599700278
2014,11,IE,28059.848208736898
2014,12,IE,27888.07495661736
2014,13,IE,27931.224867587705
2014,14,IE,26276.430631101106
2014,15,IE,23185.350544508714
2014,16,IE,21399.66048844589
2014,17,IE,20906.29766087229
2014,18,IE,20670.747466351735
2014,19,IE,22745.247823882244
2014,20,IE,22319.51044532189
2014,21,IE,23581.550700559837
2014,22,IE,21785.675939123503
2014,23,IE,20670.263651572397
2014,24,IE,20022.11658751349
2014,25,IE,20087.68289783526
2014,26,IE,20072.25437001594
2014,27,IE,19795.775821376308
2014,28,IE,19458.89895505494
2014,29,IE,19212.64945051254
2014,30,IE,19907.04423455198
2014,31,IE,23350.930746184094
2014,32,IE,22679.71881925262
2014,33,IE,19687.778122128406
2014,34,IE,19114.63317882674
2014,35,IE,18733.318471339742
2014,36,IE,18513.964460639516
2014,37,IE,18513.90372507299
2014,38,IE,18496.116702637515
2014,39,IE,19194.17854332911
2014,40,IE,21759.150128696987
2014,41,IE,19583.62382695989
2014,42,IE,18979.461972687484
2014,43,IE,20213.80848346191
2014,44,IE,22973.36211264318
2014,45,IE,35347.32081644838
2014,46,IE,44358.64256999675
2014,47,IE,40825.21743204177
2014,48,IE,30669.147631410622
2014,49,IE,26906.203796629852
2014,50,IE,30576.344292869937
2014,51,IE,30636.436180607187
2014,52,IE,31483.722558931804
2015,1,IE,32173.498876275182
2015,2,IE,33150.480158758764
2015,3,IE,32706.097147861477
2015,4,IE,30200.21772718554
2015,5,IE,27509.944283436525
2015,6,IE,25317.749177103906
2015,7,IE,24218.723863942065
2015,8,IE,25610.060372030443
2015,9,IE,27653.619973354656
2015,10,IE,28140.54625307414
2015,11,IE,26789.53495553859
2015,12,IE,24350.67638448827
2015,13,IE,27120.756292910726
2015,14,IE,27054.052883352993
2015,15,IE,25965.089144130718
2015,16,IE,23102.925396499413
2015,17,IE,23536.47073429972
2015,18,IE,30606.94198565513
2015,19,IE,30593.217493806667
2015,20,IE,26829.1882283409
2015,21,IE,23064.534983878424
2015,22,IE,21907.24927186954
2015,23,IE,20722.198772557393
2015,24,IE,19998.123828914508
2015,25,IE,19844.642672339443
2015,26,IE,19761.5635401194
2015,27,IE,19927.553371832175
2015,28,IE,19866.387745159056
2015,29,IE,19755.346869203968
2015,30,IE,19467.690495365463
2015,31,IE,19246.645232251867
2015,32,IE,19092.973888416644
2015,33,IE,19104.353184038282
2015,34,IE,20449.577270515387
2015,35,IE,20143.616967351267
2015,36,IE,20085.13895709378
2015,37,IE,20095.383777086663
2015,38,IE,20036.650767391875
2015,39,IE,19495.6309321717
2015,40,IE,19445.338701144476
2015,41,IE,19068.089381365186
2015,42,IE,18979.421869526497
2015,43,IE,19677.71440615231
2015,44,IE,20233.125120079643
2015,45,IE,24533.410389031833
2015,46,IE,29367.127062905478
2015,47,IE,33662.62496255871
2015,48,IE,38707.52776259489
2015,49,IE,52002.58965927321
2015,50,IE,57948.139809165536
2015,51,IE,49278.301528500866
2015,52,IE,56974.518290102365
2016,1,IE,59605.85161829481
2016,2,IE,50728.29393201377
2016,3,IE,38882.65656162212
2016,4,IE,35800.88173827591
2016,5,IE,35868.01976041444
2016,6,IE,36338.71710442385
2016,7,IE,36613.07511120203
2016,8,IE,34230.405966102786
2016,9,IE,32255.953843698033
2016,10,IE,31106.642824390932
2016,11,IE,26602.866861641636
2016,12,IE,23039.547225275943
2016,13,IE,23065.812152410745
2016,14,IE,26742.85912182624
2016,15,IE,30999.75020778763
2016,16,IE,26913.013080998924
2016,17,IE,22458.83440159834
2016,18,IE,20957.058719063767
2016,19,IE,21079.452669207647
2016,20,IE,20414.260377045714
